2024-01-18 15:00:14,765 INFO    StreamThr :12024 [internal.py:wandb_internal():86] W&B internal server running at pid: 12024, started at: 2024-01-18 15:00:14.765148
2024-01-18 15:00:14,767 DEBUG   HandlerThread:12024 [handler.py:handle_request():146] handle_request: status
2024-01-18 15:00:14,767 INFO    WriterThread:12024 [datastore.py:open_for_write():85] open: D:\AI\text-re\text-generation\wandb\run-20240118_150014-i51plohy\run-i51plohy.wandb
2024-01-18 15:00:14,767 DEBUG   SenderThread:12024 [sender.py:send():380] send: header
2024-01-18 15:00:14,796 DEBUG   SenderThread:12024 [sender.py:send():380] send: run
2024-01-18 15:00:15,700 INFO    SenderThread:12024 [dir_watcher.py:__init__():211] watching files in: D:\AI\text-re\text-generation\wandb\run-20240118_150014-i51plohy\files
2024-01-18 15:00:15,700 INFO    SenderThread:12024 [sender.py:_start_run_threads():1122] run started: i51plohy with start time 1705561214.767175
2024-01-18 15:00:15,706 DEBUG   HandlerThread:12024 [handler.py:handle_request():146] handle_request: check_version
2024-01-18 15:00:15,706 DEBUG   SenderThread:12024 [sender.py:send_request():407] send_request: check_version
2024-01-18 15:00:16,342 DEBUG   HandlerThread:12024 [handler.py:handle_request():146] handle_request: run_start
2024-01-18 15:00:16,394 DEBUG   HandlerThread:12024 [system_info.py:__init__():32] System info init
2024-01-18 15:00:16,394 DEBUG   HandlerThread:12024 [system_info.py:__init__():47] System info init done
2024-01-18 15:00:16,394 INFO    HandlerThread:12024 [system_monitor.py:start():194] Starting system monitor
2024-01-18 15:00:16,394 INFO    SystemMonitor:12024 [system_monitor.py:_start():158] Starting system asset monitoring threads
2024-01-18 15:00:16,394 INFO    HandlerThread:12024 [system_monitor.py:probe():214] Collecting system info
2024-01-18 15:00:16,395 INFO    SystemMonitor:12024 [interfaces.py:start():190] Started cpu monitoring
2024-01-18 15:00:16,395 INFO    SystemMonitor:12024 [interfaces.py:start():190] Started disk monitoring
2024-01-18 15:00:16,395 INFO    SystemMonitor:12024 [interfaces.py:start():190] Started gpu monitoring
2024-01-18 15:00:16,395 INFO    SystemMonitor:12024 [interfaces.py:start():190] Started memory monitoring
2024-01-18 15:00:16,412 INFO    SystemMonitor:12024 [interfaces.py:start():190] Started network monitoring
2024-01-18 15:00:16,427 DEBUG   HandlerThread:12024 [system_info.py:probe():196] Probing system
2024-01-18 15:00:16,427 DEBUG   HandlerThread:12024 [system_info.py:_probe_git():181] Probing git
2024-01-18 15:00:16,463 DEBUG   HandlerThread:12024 [system_info.py:_probe_git():189] Probing git done
2024-01-18 15:00:16,463 DEBUG   HandlerThread:12024 [system_info.py:probe():244] Probing system done
